CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
1,359.95,52.27,156.92,80.62,28.58,1.56,16064.0,48.7
0,359.95,52.27,91.2,58.78,24.37,1.56,16064.0,73.05
2,314.69,52.27,264.6,195.71,85.96,11.28,10079.0,41.92
2,314.69,52.27,214.68,195.71,85.96,11.28,10079.0,43.47
2,314.69,52.27,164.77,195.71,85.96,11.28,10079.0,75.66
1,314.69,52.27,165.33,99.7,37.82,11.28,10079.0,72.13
0,314.69,52.27,114.75,99.7,28.47,11.28,10079.0,34.96
1,357.4,52.27,257.25,21.01,65.56,1.56,8998.0,39.72
1,357.4,52.27,241.79,21.01,65.56,1.56,8998.0,41.35
1,357.4,52.27,226.34,21.01,65.56,1.56,8998.0,31.35
0,357.4,52.27,156.92,21.01,28.39,1.56,8998.0,29.44
0,357.4,52.27,91.2,21.01,25.01,1.56,8998.0,37.17
2,367.28,55.37,263.15,54.91,70.5,4.44,9742.0,33.09
2,367.28,55.37,240.56,54.91,70.5,4.44,9742.0,25.87
2,367.28,55.37,217.96,54.91,70.5,4.44,9742.0,37.98
1,367.28,55.37,170.73,70.7,23.11,4.44,9742.0,51.96
0,367.28,55.37,115.89,66.88,22.49,4.44,9742.0,33.17
2,369.77,55.37,265.73,81.31,68.84,4.44,16043.0,51.97
2,369.77,55.37,231.4,81.31,68.84,4.44,16043.0,30.23
2,369.77,55.37,197.07,81.31,68.84,4.44,16043.0,54.7
1,369.77,55.37,157.28,85.15,28.49,4.44,16043.0,32.29
0,369.77,55.37,92.38,59.32,24.17,4.44,16043.0,36.88
2,312.89,55.37,263.15,193.62,85.31,1.68,10079.0,17.69
2,312.89,55.37,213.03,193.62,85.31,1.68,10079.0,63.5
2,312.89,55.37,162.91,193.62,85.31,1.68,10079.0,61.61
1,312.89,55.37,170.73,100.61,37.17,1.68,10079.0,20.26
0,312.89,55.37,115.89,100.61,27.8,1.68,10079.0,147.91
2,367.74,55.37,265.73,22.97,66.53,4.44,8986.0,91.97
2,367.74,55.37,250.2,22.97,66.53,4.44,8986.0,71.54
1,367.74,55.37,234.66,22.97,66.53,4.44,8986.0,20.4
0,367.74,55.37,157.28,22.97,28.3,4.44,8986.0,86.2
0,367.74,55.37,92.38,22.97,25.76,4.44,8986.0,46.69
2,345.07,58.19,280.72,56.01,67.72,4.96,9769.0,67.66
2,345.07,58.19,257.83,56.01,67.72,4.96,9769.0,60.66
2,345.07,58.19,234.95,56.01,67.72,4.96,9769.0,74.59
0,345.07,58.19,174.68,67.86,22.51,4.96,9769.0,18.13
0,345.07,58.19,117.64,57.42,21.9,4.96,9769.0,85.03
2,346.87,58.19,264.32,82.84,66.04,4.96,16086.0,61.89
2,346.87,58.19,229.7,82.84,66.04,4.96,16086.0,70.2
1,346.87,58.19,195.08,82.84,66.04,4.96,16086.0,16.81
1,346.87,58.19,153.8,88.42,27.6,4.96,16086.0,36.01
0,346.87,58.19,93.58,61.47,23.47,4.96,16086.0,88.55
2,312.79,58.19,280.72,193.47,86.23,1.67,10093.0,29.07
2,312.79,58.19,230.16,193.47,86.23,1.67,10093.0,50.24
2,312.79,58.19,179.61,193.47,86.23,1.67,10093.0,72.96
1,312.79,58.19,174.68,100.08,37.71,1.67,10093.0,71.22
0,312.79,58.19,117.64,100.08,28.27,1.67,10093.0,52.85
2,345.41,58.19,264.32,23.31,63.92,4.96,9.01,100.17
1,345.41,58.19,248.62,23.31,63.92,4.96,9.01,45.46
1,345.41,58.19,232.91,23.31,63.92,4.96,9.01,62.38
0,345.41,58.19,153.8,23.31,27.47,4.96,9.01,50.1
0,345.41,58.19,93.58,23.31,25.04,4.96,9.01,41.55
1,371.81,52.84,150.99,28.69,25.16,11.01,8976.0,89.41
0,344.02,52.84,87.9,28.69,22.92,11.01,8976.0,70.08
