CU Total,"Costo Compra (Gm,i)",Cargo Transporte STN (Tm),"Cargo Transporte SDL (Dn,m)","Margen Comercialización (CVm,i,j)","Costo G, T, Pérdidas (PRn,m)",Restricciones (Rm),"Cfm,j ($/fact.)",COT
635.07,322.32,48.55,162.35,71.05,19.79,11.01,9731,39.89
566.75,322.32,48.55,110.47,55.09,19.31,11.01,9731,31.24
777.48,324.45,48.55,247.84,84.99,60.64,11.01,16025,44.53
743.41,324.45,48.55,213.76,84.99,60.64,11.01,16025,23.62
709.33,324.45,48.55,179.69,84.99,60.64,11.01,16025,54.66
647.09,324.45,48.55,150.99,86.84,25.25,11.01,16025,13.29
553.33,324.45,48.55,87.9,59.96,21.46,11.01,16025,54.78
927.13,306.81,48.55,266.9,190.77,82.31,31.79,10055,48.56
877.55,306.81,48.55,217.32,190.77,82.31,31.79,10055,43.88
827.97,306.81,48.55,167.74,190.77,82.31,31.79,10055,60.4
685.14,306.81,48.55,162.35,99.7,35.95,31.79,10055,41.66
624.27,306.81,48.55,110.47,99.7,26.95,31.79,10055,69.17
711.6,322.71,48.55,247.84,22.79,58.69,11.01,8976,53.95
696.27,322.71,48.55,232.51,22.79,58.69,11.01,8976,75.91
680.94,322.71,48.55,217.18,22.79,58.69,11.01,8976,52.37
581.22,322.71,48.55,150.99,22.79,25.16,11.01,8976,70.77
515.89,322.71,48.55,87.9,22.79,22.92,11.01,8976,56.29
799.4,356.82,52.27,264.6,54.77,69.38,1.56,9755,48.25
776.93,356.82,52.27,242.13,54.77,69.38,1.56,9755,38.36
754.46,356.82,52.27,219.66,54.77,69.38,1.56,9755,2.25
667.37,356.82,52.27,165.33,68.07,23.32,1.56,9755,96.27
596.22,356.82,52.27,114.75,48.08,22.74,1.56,9755,85.75
818.93,359.95,52.27,257.25,80.03,67.87,1.56,16064,83.3
784.62,359.95,52.27,222.95,80.03,67.87,1.56,16064,88.25
750.32,359.95,52.27,188.64,80.03,67.87,1.56,16064,45.38
679.9,359.95,52.27,156.92,80.62,28.58,1.56,16064,48.7
588.13,359.95,52.27,91.2,58.78,24.37,1.56,16064,73.05
924.51,314.69,52.27,264.6,195.71,85.96,11.28,10079,41.92
874.59,314.69,52.27,214.68,195.71,85.96,11.28,10079,43.47
824.68,314.69,52.27,164.77,195.71,85.96,11.28,10079,75.66
681.09,314.69,52.27,165.33,99.7,37.82,11.28,10079,72.13
621.16,314.69,52.27,114.75,99.7,28.47,11.28,10079,34.96
755.33,357.4,52.27,257.25,21.01,65.56,1.56,8998,39.72
739.87,357.4,52.27,241.79,21.01,65.56,1.56,8998,41.35
724.41,357.4,52.27,226.34,21.01,65.56,1.56,8998,31.35
617.84,357.4,52.27,156.92,21.01,28.39,1.56,8998,29.44
549.64,357.4,52.27,91.2,21.01,25.01,1.56,8998,37.17
815.65,367.28,55.37,263.15,54.91,70.5,4.44,9742,33.09
793.05,367.28,55.37,240.56,54.91,70.5,4.44,9742,25.87
770.46,367.28,55.37,217.96,54.91,70.5,4.44,9742,37.98
691.63,367.28,55.37,170.73,70.7,23.11,4.44,9742,51.96
632.35,367.28,55.37,115.89,66.88,22.49,4.44,9742,33.17
845.47,369.77,55.37,265.73,81.31,68.84,4.44,16043,51.97
811.14,369.77,55.37,231.4,81.31,68.84,4.44,16043,30.23
776.81,369.77,55.37,197.07,81.31,68.84,4.44,16043,54.7
700.5,369.77,55.37,157.28,85.15,28.49,4.44,16043,32.29
605.45,369.77,55.37,92.38,59.32,24.17,4.44,16043,36.88
912.02,312.89,55.37,263.15,193.62,85.31,1.68,10079,17.69
861.9,312.89,55.37,213.03,193.62,85.31,1.68,10079,63.5
811.78,312.89,55.37,162.91,193.62,85.31,1.68,10079,61.61
678.45,312.89,55.37,170.73,100.61,37.17,1.68,10079,20.26
614.25,312.89,55.37,115.89,100.61,27.8,1.68,10079,147.91
782.78,367.74,55.37,265.73,22.97,66.53,4.44,8986,91.97
767.24,367.74,55.37,250.2,22.97,66.53,4.44,8986,71.54
751.7,367.74,55.37,234.66,22.97,66.53,4.44,8986,20.4
636.1,367.74,55.37,157.28,22.97,28.3,4.44,8986,86.2
568.66,367.74,55.37,92.38,22.97,25.76,4.44,8986,46.69
812.67,345.07,58.19,280.72,56.01,67.72,4.96,9769,67.66
789.78,345.07,58.19,257.83,56.01,67.72,4.96,9769,60.66
766.9,345.07,58.19,234.95,56.01,67.72,4.96,9769,74.59
673.27,345.07,58.19,174.68,67.86,22.51,4.96,9769,18.13
605.18,345.07,58.19,117.64,57.42,21.9,4.96,9769,85.03
823.22,346.87,58.19,264.32,82.84,66.04,4.96,16086,61.89
788.6,346.87,58.19,229.7,82.84,66.04,4.96,16086,70.2
753.98,346.87,58.19,195.08,82.84,66.04,4.96,16086,16.81
679.85,346.87,58.19,153.8,88.42,27.6,4.96,16086,36.01
588.54,346.87,58.19,93.58,61.47,23.47,4.96,16086,88.55
933.07,312.79,58.19,280.72,193.47,86.23,1.67,10093,29.07
882.52,312.79,58.19,230.16,193.47,86.23,1.67,10093,50.24
